代码,名称,收盘价,市盈率,市净率,净资产收益率,总股本,流通股本,上市时间
300369.XSHE,绿盟科技,39.89,1614,1614,1614,364087086,117767624,2014-01-29
300370.XSHE,安控科技,17.22,1615,1615,1615,267890336,129788543,2014-01-23
300371.XSHE,汇中股份,25.08,1616,1616,1616,120000000,35491405,2014-01-23
300372.XSHE,欣泰电气,14.58,1617,1617,1617,171557218,97992092,2014-01-27
300373.XSHE,扬杰科技,16.08,1618,1618,1618,419325000,126999550,2014-01-23
300374.XSHE,恒通科技,20.89,1619,1619,1619,194680000,110106900,2015-03-19
300375.XSHE,鹏翎股份,19.18,1620,1620,1620,185931988,74031532,2014-01-27
300376.XSHE,易事特,37.55,1621,1621,1621,500920000,125324000,2014-01-27
300377.XSHE,赢时胜,77.59,1622,1622,1622,110700000,41086896,2014-01-27
300378.XSHE,鼎捷软件,46.5,1623,1623,1623,200746110,111804029,2014-01-27
300379.XSHE,东方通,76.1,1624,1624,1624,115220300,64552723,2014-01-28
300380.XSHE,安硕信息,50.83,1625,1625,1625,137440000,48322496,2014-01-28
300381.XSHE,溢多利,44.97,1626,1626,1626,120058099,30442251,2014-01-28
300382.XSHE,斯莱克,34.04,1627,1627,1627,117121373,31678343,2014-01-29
300383.XSHE,光环新网,42.57,1628,1628,1628,545800000,258761868,2014-01-29
300384.XSHE,三联虹普,0,1629,1629,1629,149352000,49658000,2014-08-01
300385.XSHE,雪浪环境,35.8,1630,1630,1630,120000000,47913720,2014-06-26
300386.XSHE,飞天诚信,40.3,1631,1631,1631,209022000,77866892,2014-06-26
300387.XSHE,富邦股份,23.85,1632,1632,1632,124680000,40875364,2014-07-02
300388.XSHE,国祯环保,24.26,1633,1633,1633,278649632,141852021,2014-08-01
300389.XSHE,艾比森,37.78,1634,1634,1634,160208320,46116952,2014-08-01
300390.XSHE,天华超净,33.5,1635,1635,1635,137819000,47818729,2014-07-31
300391.XSHE,康跃科技,18.78,1636,1636,1636,166675000,51675000,2014-08-01
300392.XSHE,腾信股份,0,1637,1637,1637,384000000,160725331,2014-09-10
300393.XSHE,中来股份,44.68,1638,1638,1638,119490000,51274388,2014-09-12
300394.XSHE,天孚通信,80.3,1639,1639,1639,74340000,27205625,2015-02-17
300395.XSHE,菲利华,31.59,1640,1640,1640,131000000,92404434,2014-09-10
300396.XSHE,迪瑞医疗,36.49,1641,1641,1641,153350000,42773125,2014-09-10
300397.XSHE,天和防务,59.13,1642,1642,1642,120000000,51600000,2014-09-10
300398.XSHE,飞凯材料,56.19,1643,1643,1643,104000000,35997650,2014-10-09
300399.XSHE,京天利,45.58,1644,1644,1644,152000000,44356288,2014-10-09
300400.XSHE,劲拓股份,30.36,1645,1645,1645,120000000,56922518,2014-10-10
300401.XSHE,花园生物,36.27,1646,1646,1646,181400000,95329260,2014-10-09
300402.XSHE,宝色股份,18.95,1647,1647,1647,202000000,58550000,2014-10-10
300403.XSHE,地尔汉宇,46.4,1648,1648,1648,134000000,58820000,2014-10-30
300404.XSHE,博济医药,33.86,1649,1649,1649,133340000,33337300,2015-04-24
300405.XSHE,科隆精化,0,1650,1650,1650,68000000,30919950,2014-10-30
