代码,名称,收盘价,净值,总股本,流通股本,上市时间
000001.XSHE,平安银行,10.70,0,14308676139,11797404333,1991-04-03
000002.XSHE,万  科Ａ,0.00,0,9724176533,9704450347,1991-01-29
000004.XSHE,国农科技,36.83,0,83976684,82903548,1990-12-01
000005.XSHE,世纪星源,7.94,0,1058536842,912328931,1990-12-10
000006.XSHE,深振业Ａ,8.55,0,1349995046,1343885897,1992-04-27
000007.XSHE,全新好,0.00,0,230965363,205604801,1992-04-13
000008.XSHE,神州高铁,10.17,0,2757709279,1496545518,1992-05-07
000009.XSHE,中国宝安,13.23,0,1592107386,1554285450,1991-06-25
000010.XSHE,深华新,8.89,0,819854713,407154317,1995-10-27
000011.XSHE,深物业A,14.92,0,528373849,175831365,1992-03-30
000012.XSHE,南  玻Ａ,10.85,0,1312751568,1304061716,1992-02-28
000014.XSHE,沙河股份,18.57,0,201705187,201700249,1992-06-02
000016.XSHE,深康佳Ａ,0.00,0,1596593800,1595621780,1992-03-27
000017.XSHE,深中华A,12.70,0,302984965,302967139,1992-03-31
000018.XSHE,神州长城,48.66,0,377484679,99374824,1992-06-16
000019.XSHE,深深宝Ａ,18.80,0,269716984,251915307,1992-10-12
000020.XSHE,深华发Ａ,25.50,0,181165391,181146183,1992-04-28
000021.XSHE,深科技,9.10,0,1471259363,1469812794,1994-02-02
000022.XSHE,深赤湾Ａ,17.70,0,464868300,464864749,1993-05-05
000023.XSHE,深天地Ａ,0.00,0,138756240,138755940,1993-04-29
000025.XSHE,特  力Ａ,68.03,0,270881600,179294044,1993-06-21
000026.XSHE,飞亚达Ａ,12.91,0,357096881,311070137,1993-06-03
000027.XSHE,深圳能源,7.26,0,3964491597,3964491597,1993-09-03
000028.XSHE,国药一致,0.00,0,307746343,233261812,1993-08-09
000029.XSHE,深深房Ａ,12.04,0,891660000,891592500,1993-09-15
000030.XSHE,富奥股份,7.58,0,1259095140,561689790,1993-09-29
000031.XSHE,中粮地产,11.40,0,1813731596,1813722958,1993-10-08
000032.XSHE,深桑达Ａ,21.53,0,351878445,232863239,1993-10-28
000033.XSHE,*ST新都,0,0,329402050,329400349,1994-01-03
000034.XSHE,深信泰丰,0.00,0,654070434,340054000,1994-05-09
000035.XSHE,中国天楹,12.38,0,619278871,405800801,1994-04-08
000036.XSHE,华联控股,8.30,0,1140487712,1123882733,1994-06-17
000037.XSHE,深南电Ａ,10.31,0,338908150,338891172,1994-07-01
000038.XSHE,深大通,0.00,0,192064001,37731440,1994-08-08
000039.XSHE,中集集团,15.67,0,1261701777,1260861626,1994-04-08
000040.XSHE,宝安地产,10.85,0,469593364,464576042,1994-08-08
000042.XSHE,中洲控股,16.76,0,665069639,478846963,1994-09-21
000043.XSHE,中航地产,9.21,0,666961416,666780666,1994-09-28
000045.XSHE,深纺织Ａ,12.57,0,457021849,405563873,1994-08-15
000046.XSHE,泛海控股,11.18,0,5196200656,4549886929,1994-09-12
000048.XSHE,康达尔,32.98,0,390768671,381981118,1994-11-01
000049.XSHE,德赛电池,39.01,0,205243738,205243738,1995-03-20
000050.XSHE,深天马Ａ,17.05,0,1401098744,943086454,1995-03-15
000055.XSHE,方大集团,12.50,0,420958717,419986675,1996-04-15
000056.XSHE,皇庭国际,27.84,0,451866604,143055590,1996-07-08
000058.XSHE,深 赛 格,12.97,0,538337692,538266003,1996-12-26
000059.XSHE,*ST华锦,7.45,0,1599442537,1399970996,1997-01-30
000060.XSHE,中金岭南,11.80,0,2212627938,2211487479,1997-01-23
000061.XSHE,农 产 品,13.00,0,1696964131,1691526521,1997-01-10
000062.XSHE,深圳华强,28.54,0,721316774,666949797,1997-01-30
000063.XSHE,中兴通讯,0.00,0,3397968631,3389436121,1997-11-18
000065.XSHE,北方国际,27.69,0,274371762,253401907,1998-06-05
000066.XSHE,长城电脑,14.75,0,1323593886,1323570126,1997-06-26
000068.XSHE,*ST华赛,9.89,0,1006671464,896671464,1997-06-11
000069.XSHE,华侨城Ａ,7.07,0,8205681415,6118524913,1997-09-10
000070.XSHE,特发信息,24.49,0,313497373,258634376,2000-05-11
000078.XSHE,海王生物,17.08,0,752513855,730277513,1998-12-18
000088.XSHE,盐 田 港,7.05,0,1942200000,1942145797,1997-07-28
000089.XSHE,深圳机场,7.58,0,2050769509,2050769509,1998-04-20
000090.XSHE,天健集团,13.96,0,855561097,552530044,1999-07-21
000096.XSHE,广聚能源,13.95,0,528000000,510848000,2000-07-24
000099.XSHE,中信海直,12.03,0,606070420,606070420,2000-07-31
000100.XSHE,TCL 集团,3.93,0,12213681742,9001315746,2004-01-30
000150.XSHE,宜华健康,26.98,0,447804877,331512195,2000-08-07
000151.XSHE,中成股份,19.34,0,295980000,266543967,2000-09-06
000153.XSHE,丰原药业,0.00,0,312141230,311977230,2000-09-20
000155.XSHE,*ST川化,8.05,0,470000000,470000000,2000-09-26
000156.XSHE,华数传媒,20.71,0,1433351902,546868435,2000-09-06
000157.XSHE,中联重科,4.61,0,6275925164,6265568472,2000-10-12
000158.XSHE,常山股份,12.66,0,1271442278,718676050,2000-07-24
000159.XSHE,国际实业,0.00,0,481139294,481081919,2000-09-26
000166.XSHE,申万宏源,9.14,0,14856744977,5299630352,2015-01-26
000301.XSHE,东方市场,4.77,0,1218236445,1218236445,2000-05-29
000333.XSHE,美的集团,30.28,0,4267391228,2241047478,2013-09-18
000338.XSHE,潍柴动力,8.22,0,3027099278,2092169774,2007-04-30
000400.XSHE,许继电气,14.37,0,1008327309,737446047,1997-04-18
000401.XSHE,冀东水泥,10.38,0,1347522914,1347188471,1996-06-14
000402.XSHE,金 融 街,9.38,0,2988929907,2987127435,1996-06-26
000403.XSHE,ST生化,26.31,0,272577599,187306124,1996-06-28
000404.XSHE,华意压缩,8.07,0,559623953,558395998,1996-06-19
000407.XSHE,胜利股份,6.64,0,774048768,661449064,1996-07-03
000408.XSHE,金谷源,14.25,0,252301500,252300600,1996-06-28
000409.XSHE,山东地矿,0.00,0,472709345,357747806,1996-06-27
000410.XSHE,沈阳机床,18.30,0,765470884,739418797,1996-07-18
000411.XSHE,英特集团,20.22,0,207449946,207314121,1996-07-16
000413.XSHE,东旭光电,7.81,0,3585000525,2019255121,1996-09-25
000415.XSHE,渤海金控,0.00,0,6184521282,3115585808,1996-07-16
000416.XSHE,民生控股,8.01,0,531871494,531610254,1996-07-19
000417.XSHE,合肥百货,8.16,0,779884200,778610725,1996-08-12
000418.XSHE,小天鹅Ａ,24.17,0,441451892,437765002,1997-03-28
000419.XSHE,通程控股,7.43,0,543582655,543289983,1996-08-16
000420.XSHE,吉林化纤,8.61,0,716603328,318245431,1996-08-02
000421.XSHE,南京中北,7.48,0,572646934,392309100,1996-08-06
000422.XSHE,湖北宜化,6.36,0,897866712,897812984,1996-08-15
000423.XSHE,东阿阿胶,46.86,0,654021537,653867313,1996-07-29
000425.XSHE,徐工机械,3.62,0,7084287702,7070125719,1996-08-28
000426.XSHE,兴业矿业,7.95,0,1193889056,963245832,1996-08-28
000428.XSHE,华天酒店,7.78,0,1018926000,718748700,1996-08-08
000429.XSHE,粤高速Ａ,5.28,0,908367748,468668996,1998-02-20
000430.XSHE,张家界,12.95,0,320835149,209033647,1996-08-29
000488.XSHE,晨鸣纸业,8.09,0,1113278456,1105037237,2000-11-20
000498.XSHE,山东路桥,6.28,0,1120139063,440700000,1997-06-09
000501.XSHE,鄂武商Ａ,16.88,0,529025590,507199303,1992-11-20
000502.XSHE,绿景控股,21.84,0,184819607,183012031,1992-11-23
000503.XSHE,海虹控股,24.01,0,898822204,897924706,1992-11-30
000504.XSHE,南华生物,18.37,0,311573901,310577844,1992-12-08
000505.XSHE,珠江控股,8.91,0,361770404,360362416,1992-12-21
000506.XSHE,中润资源,8.10,0,929017761,928310961,1993-03-12
000507.XSHE,珠海港,5.79,0,789540919,772090797,1993-03-26
000509.XSHE,华塑控股,0.00,0,825483117,625435935,1993-05-07
000510.XSHE,*ST金路,6.85,0,609182254,563389457,1993-05-07
000511.XSHE,烯碳新材,8.79,0,1154832011,1154821512,1993-05-18
000513.XSHE,丽珠集团,43.43,0,251298187,230907396,1993-10-28
000514.XSHE,渝 开 发,9.03,0,843770965,843770627,1993-07-12
000516.XSHE,国际医学,15.26,0,788419721,698493468,1993-08-09
000517.XSHE,荣安地产,4.52,0,3183922485,3035317965,1993-08-06
000518.XSHE,四环生物,7.11,0,1029556222,1029107630,1993-09-08
000519.XSHE,江南红箭,13.95,0,1033224158,457958913,1993-10-08
000520.XSHE,长航凤凰,10.25,0,1012083455,1012083455,1993-10-25
000521.XSHE,美菱电器,5.97,0,600875205,592431984,1993-10-18
000523.XSHE,广州浪奇,11.08,0,522929571,445754957,1993-11-08
000524.XSHE,岭南控股,13.03,0,269673744,269671562,1993-11-18
000525.XSHE,红 太 阳,13.72,0,580772873,506983093,1993-10-28
000526.XSHE,银润投资,52.00,0,96195107,96194107,1993-11-01
000528.XSHE,柳    工,7.02,0,1125242136,1125077561,1993-11-18
000529.XSHE,广弘控股,8.86,0,583790330,567197793,1993-11-18
000530.XSHE,大冷股份,15.69,0,245164975,215793449,1993-12-08
000531.XSHE,穗恒运Ａ,10.31,0,685082820,685065434,1994-01-06
000532.XSHE,力合股份,16.75,0,344708340,343352552,1994-01-03
000533.XSHE,万 家 乐,8.66,0,690816000,684900468,1994-01-03
000534.XSHE,万泽股份,9.90,0,491785096,491286771,1994-01-10
000536.XSHE,华映科技,12.21,0,779102886,776673375,1993-11-26
000537.XSHE,广宇发展,7.84,0,512717581,512440083,1993-12-10
000538.XSHE,云南白药,60.62,0,1041399718,1041392430,1993-12-15
000539.XSHE,粤电力Ａ,5.84,0,4451875986,2553909163,1993-11-26
000540.XSHE,中天城投,7.22,0,4686813036,3921133059,1994-02-02
000541.XSHE,佛山照明,9.67,0,979340368,974840963,1993-11-23
000543.XSHE,皖能电力,6.99,0,1790395978,1742765392,1993-12-20
000544.XSHE,中原环保,14.81,0,269459799,269459799,1993-12-08
000545.XSHE,金浦钛业,6.67,0,986833096,596078076,1993-12-15
000546.XSHE,金圆股份,9.23,0,598439493,273647644,1993-12-15
000547.XSHE,航天发展,15.17,0,1429628897,834878240,1993-11-30
000548.XSHE,湖南投资,8.85,0,499215811,499201046,1993-12-20
000550.XSHE,江铃汽车,26.79,0,519214000,517488100,1993-12-01
000551.XSHE,创元科技,8.97,0,400080405,400026405,1994-01-06
000552.XSHE,靖远煤电,8.40,0,1143485525,778715007,1994-01-06
000553.XSHE,沙隆达Ａ,0.00,0,363923220,363902689,1993-12-03
000554.XSHE,泰山石油,10.55,0,480793318,362586041,1993-12-15
000555.XSHE,神州信息,0.00,0,917811916,254863798,1994-04-08
000557.XSHE,*ST广夏,6.03,0,1458374735,585245214,1994-06-17
000558.XSHE,莱茵体育,17.02,0,859482633,764485983,1994-05-09
000559.XSHE,万向钱潮,16.49,0,2294299545,2289776136,1994-01-10
000560.XSHE,昆百大Ａ,9.99,0,1170235934,315879332,1994-02-02
000561.XSHE,烽火电子,13.04,0,595844701,593991864,1994-05-09
000563.XSHE,陕国投Ａ,13.06,0,1545245866,1214664293,1994-01-10
000564.XSHE,西安民生,10.07,0,752926271,435901157,1994-01-10
000565.XSHE,渝三峡Ａ,10.20,0,433592220,433592220,1994-04-08
000566.XSHE,海南海药,23.46,0,545340432,494306524,1994-05-25
000567.XSHE,海德股份,30.26,0,151200000,150325203,1994-05-25
000568.XSHE,泸州老窖,23.67,0,1402252476,1401771961,1994-05-09
000570.XSHE,苏常柴Ａ,8.49,0,411374326,411374326,1994-07-01
000571.XSHE,新大洲Ａ,0.00,0,814064000,733968035,1994-05-25
000572.XSHE,海马汽车,5.38,0,1644636426,1641923447,1994-08-08
000573.XSHE,粤宏远Ａ,7.86,0,622755604,622173326,1994-08-15
000576.XSHE,广东甘化,16.15,0,442861324,249838694,1994-09-07
000581.XSHE,威孚高科,19.34,0,836570570,836491993,1998-09-24
000582.XSHE,北部湾港,0.00,0,954045720,142059007,1995-11-02
000584.XSHE,友利控股,11.93,0,613324339,604505883,1995-11-28
000585.XSHE,东北电气,0.00,0,615420000,608284505,1995-12-13
000586.XSHE,汇源通信,18.30,0,193440000,193300965,1995-12-20
000587.XSHE,金叶珠宝,16.97,0,1061874665,557134734,1996-04-25
000589.XSHE,黔轮胎Ａ,5.52,0,775464304,745407256,1996-03-08
000590.XSHE,*ST古汉,21.50,0,223331267,223236227,1996-01-19
000591.XSHE,桐 君 阁,16.00,0,1001014342,241276331,1996-02-08
000592.XSHE,平潭发展,14.35,0,965890446,837704628,1996-03-27
000593.XSHE,大通燃气,10.77,0,279940202,223128781,1996-03-12
000595.XSHE,宝塔实业,9.01,0,372440125,216734834,1996-04-19
000596.XSHE,古井贡酒,33.34,0,383600000,383599100,1996-09-27
000597.XSHE,东北制药,10.48,0,474655068,438056092,1996-05-23
000598.XSHE,兴蓉环境,6.02,0,2986218602,2986218602,1996-05-29
000599.XSHE,青岛双星,6.58,0,674578893,627971874,1996-04-30
000600.XSHE,建投能源,8.79,0,1791626376,1090044126,1996-06-06
000601.XSHE,韶能股份,8.49,0,1080551669,1079808364,1996-08-30
000603.XSHE,盛达矿业,20.14,0,504988667,387140738,1996-08-23
000605.XSHE,渤海股份,19.20,0,194991066,118435415,1996-09-13
000606.XSHE,青海明胶,10.81,0,472113600,469323857,1996-10-04
000607.XSHE,华媒控股,9.81,0,1017698410,487269545,1996-08-30
000608.XSHE,阳光股份,0.00,0,749913309,749764369,1996-09-19
000609.XSHE,绵世股份,10.97,0,298095522,274381959,1996-10-10
000610.XSHE,西安旅游,12.25,0,236747901,235100607,1996-09-26
000611.XSHE,*ST蒙发,9.12,0,321822022,319064317,1996-10-08
000612.XSHE,焦作万方,0.00,0,1202844594,968540161,1996-09-26
000613.XSHE,大东海A,16.31,0,276100000,261026800,1997-01-28
000615.XSHE,湖北金环,18.21,0,390125275,177005399,1996-10-16
000616.XSHE,海航投资,5.75,0,1430234425,1430211225,1996-11-08
000617.XSHE,石油济柴,12.05,0,287539200,287539200,1996-10-22
000619.XSHE,海螺型材,10.58,0,360000000,360000000,1996-10-23
000620.XSHE,新华联,7.68,0,1896690420,1597970649,1996-10-29
000622.XSHE,恒立实业,11.98,0,425226000,425226000,1996-11-07
000623.XSHE,吉林敖东,26.93,0,894438433,806891163,1996-10-28
000625.XSHE,长安汽车,0.00,0,3760899966,3387522724,1997-06-10
000626.XSHE,如意集团,72.49,0,202500000,202297500,1996-11-28
000627.XSHE,天茂集团,8.18,0,4259194566,1353580041,1996-11-12
000628.XSHE,高新发展,12.79,0,311480000,187834012,1996-11-18
000629.XSHE,攀钢钒钛,3.32,0,8589746202,4766821153,1996-11-15
000630.XSHE,铜陵有色,2.92,0,9560643685,9560452060,1996-11-20
000631.XSHE,顺发恒业,7.26,0,1463713654,1463660968,1996-11-22
000632.XSHE,三木集团,8.28,0,465519570,465411606,1996-11-21
000633.XSHE,合金投资,0.00,0,385106373,384931172,1996-11-12
000635.XSHE,英 力 特,11.51,0,303087602,303087602,1996-11-20
000636.XSHE,风华高科,0.00,0,895233111,750481767,1996-11-29
000637.XSHE,茂化实华,7.56,0,519875356,366464646,1996-11-14
000638.XSHE,万方发展,0.00,0,309400000,308888886,1996-11-26
000639.XSHE,西王食品,14.30,0,454530468,376632486,1996-11-26
000650.XSHE,仁和药业,7.59,0,1238340076,1237995020,1996-12-10
000651.XSHE,格力电器,0.00,0,6015730878,5970548980,1996-11-18
000652.XSHE,泰达股份,5.06,0,1475573852,1464823310,1996-11-28
000655.XSHE,金岭矿业,8.81,0,595340230,595340230,1996-11-28
000656.XSHE,金科股份,4.00,0,4327060153,3777530829,1996-11-28
000657.XSHE,中钨高新,15.21,0,628654664,245570701,1996-12-05
000659.XSHE,*ST中富,3.89,0,1285702520,1284424725,1996-12-03
000661.XSHE,长春高新,103.68,0,131326570,131276029,1996-12-18
000662.XSHE,索芙特,19.99,0,287989200,287904377,1996-12-16
000663.XSHE,永安林业,12.58,0,341019799,170318617,1996-12-06
000665.XSHE,湖北广电,14.41,0,636217448,461070215,1996-12-10
000666.XSHE,经纬纺机,20.70,0,523330000,293478766,1996-12-10
000667.XSHE,美好集团,4.07,0,2559592332,2559547901,1996-12-05
000668.XSHE,荣丰控股,23.16,0,146841890,146688393,1996-12-10
000669.XSHE,金鸿能源,0.00,0,486006284,478526080,1996-12-10
000670.XSHE,盈方微,11.20,0,816627360,559335918,1996-12-17
000671.XSHE,阳 光 城,6.48,0,4048123915,3242426595,1996-12-18
000672.XSHE,上峰水泥,7.77,0,813619871,215443145,1996-12-18
000673.XSHE,当代东方,25.86,0,393080000,207578273,1997-01-24
000676.XSHE,智度投资,25.95,0,314586699,314008699,1996-12-24
000677.XSHE,*ST海龙,6.99,0,863977948,863969623,1996-12-26
000678.XSHE,襄阳轴承,8.35,0,429079797,429079797,1997-01-06
000679.XSHE,大连友谊,13.36,0,356400000,356342394,1997-01-24
000680.XSHE,山推股份,5.44,0,1240787611,954908016,1997-01-22
000681.XSHE,视觉中国,26.84,0,700577436,196675478,1997-01-21
000682.XSHE,东方电子,5.40,0,978163195,978023795,1997-01-21
000683.XSHE,远兴能源,4.58,0,1618891844,1162643388,1997-01-31
000685.XSHE,中山公用,11.85,0,1475111351,997450677,1997-01-23
000686.XSHE,东北证券,14.28,0,1957166032,1748696998,1997-02-27
000687.XSHE,华讯方舟,19.45,0,757368462,531432792,1997-02-21
000688.XSHE,建新矿业,8.53,0,1137299314,296013837,1997-01-20
000690.XSHE,宝新能源,7.25,0,1726612500,1718238713,1997-01-28
000691.XSHE,亚太实业,9.13,0,323270000,290486300,1997-02-28
000692.XSHE,惠天热电,5.50,0,532832976,532785162,1997-02-27
000693.XSHE,华泽钴镍,0.00,0,543491923,255191023,1997-02-26
000695.XSHE,滨海能源,15.64,0,222147539,221503897,1997-02-18
000697.XSHE,炼石有色,24.12,0,559680049,453978217,1997-03-25
000698.XSHE,沈阳化工,6.93,0,819514395,627066841,1997-02-20
000700.XSHE,模塑科技,22.60,0,358603951,348558901,1997-02-28
000701.XSHE,厦门信达,19.35,0,406613056,289045206,1997-02-26
000702.XSHE,正虹科技,13.56,0,266634576,266633575,1997-03-18
000703.XSHE,恒逸石化,11.86,0,1306132696,1153455026,1997-03-28
000705.XSHE,浙江震元,12.60,0,334123286,281942251,1997-04-10
000707.XSHE,双环科技,7.95,0,464145765,464144265,1997-04-15
000708.XSHE,大冶特钢,10.82,0,449408480,449408480,1997-03-26
000709.XSHE,河钢股份,3.10,0,10618607852,10616880086,1997-04-16
000710.XSHE,天兴仪表,26.69,0,151200000,151200000,1997-04-22
000711.XSHE,京蓝科技,17.31,0,160898400,160898400,1997-04-11
000712.XSHE,锦龙股份,23.27,0,896000000,846275000,1997-04-15
000713.XSHE,丰乐种业,10.12,0,298875968,298868605,1997-04-22
000715.XSHE,中兴商业,12.81,0,279006000,278546329,1997-05-08
000716.XSHE,黑芝麻,0.00,0,318542222,222489550,1997-04-18
000717.XSHE,韶钢松山,0.00,0,2419524410,1669524410,1997-05-08
000718.XSHE,苏宁环球,0.00,0,3034636384,1910358213,1997-04-08
000719.XSHE,大地传媒,15.23,0,787079807,513147154,1997-03-31
000720.XSHE,新能泰山,0.00,0,863460000,863459000,1997-05-09
000721.XSHE,西安饮食,6.84,0,499055920,435265895,1997-04-30
000722.XSHE,湖南发展,15.88,0,464158282,464155941,1997-05-22
000723.XSHE,美锦能源,9.39,0,2281073390,194860690,1997-05-15
000725.XSHE,京东方Ａ,2.56,0,33950977574,24028364697,2001-01-12
000726.XSHE,鲁  泰Ａ,10.86,0,561883400,560829960,2000-12-25
000727.XSHE,华东科技,6.73,0,2264783490,1220217067,1997-05-20
000728.XSHE,国元证券,19.35,0,1964100000,1964100000,1997-06-16
000729.XSHE,燕京啤酒,7.20,0,2818539341,2509339569,1997-07-16
000731.XSHE,四川美丰,7.89,0,591484352,591484352,1997-06-17
000732.XSHE,泰禾集团,22.72,0,1244450720,1015605355,1997-07-04
000733.XSHE,振华科技,18.68,0,469342218,429158874,1997-07-03
000735.XSHE,罗 牛 山,7.40,0,880132000,879482395,1997-06-11
000736.XSHE,中房地产,0.00,0,297193885,138733650,1997-04-25
000737.XSHE,南风化工,5.50,0,548760000,548747680,1997-04-28
000738.XSHE,中航动控,29.95,0,1145642349,1145627049,1997-06-26
000739.XSHE,普洛药业,6.64,0,1146869310,1060047206,1997-05-09
000748.XSHE,长城信息,23.93,0,814818606,802079752,1997-07-04
000750.XSHE,国海证券,10.80,0,2810361315,2310359065,1997-07-09
000751.XSHE,锌业股份,5.95,0,1409869279,1409864479,1997-06-26
000752.XSHE,西藏发展,0.00,0,263758491,263735599,1997-06-25
000753.XSHE,漳州发展,4.77,0,884146545,819355295,1997-06-26
000755.XSHE,山西三维,7.06,0,469264621,469255943,1997-06-27
000756.XSHE,新华制药,10.64,0,307312830,307303905,1997-08-06
000757.XSHE,浩物股份,9.78,0,451621156,363577785,1997-06-27
000758.XSHE,中色股份,14.08,0,984689212,901498058,1997-04-16
000759.XSHE,中百集团,6.98,0,681021500,680559092,1997-05-19
000760.XSHE,斯太尔,12.78,0,788644628,331593208,1997-06-27
000761.XSHE,本钢板材,5.59,0,2736000000,2736000000,1998-01-15
000762.XSHE,西藏矿业,21.36,0,475974877,475950049,1997-07-08
000766.XSHE,通化金马,0.00,0,966494707,449012280,1997-04-30
000767.XSHE,漳泽电力,4.59,0,2253737800,2252733766,1997-06-09
000768.XSHE,中航飞机,19.00,0,2768645071,2653816234,1997-06-26
000776.XSHE,广发证券,16.90,0,5919291464,5919291464,1997-06-11
000777.XSHE,中核科技,25.57,0,383417593,383358954,1997-07-10
000778.XSHE,新兴铸管,5.57,0,3643307361,3642971485,1997-06-06
000779.XSHE,三毛派神,26.68,0,186441020,186441020,1997-05-28
000780.XSHE,平庄能源,4.93,0,1014306324,1014306324,1997-06-06
000782.XSHE,美达股份,9.69,0,528139623,403192670,1997-06-19
000783.XSHE,长江证券,10.39,0,4742467678,4742392213,1997-07-31
000785.XSHE,武汉中商,12.01,0,251221698,251093698,1997-07-11
000786.XSHE,北新建材,9.66,0,1413981592,1377655722,1997-06-06
000788.XSHE,北大医药,10.21,0,595987425,558774373,1997-06-16
000789.XSHE,万年青,7.23,0,613364368,613349824,1997-09-23
000790.XSHE,华神集团,10.60,0,431021374,428920250,1998-03-27
000791.XSHE,甘肃电投,10.19,0,971126200,722114150,1997-10-14
000792.XSHE,盐湖股份,18.39,0,1857393734,1566377949,1997-09-04
000793.XSHE,华闻传媒,9.55,0,2051228683,1827497562,1997-07-29
000795.XSHE,英洛华,12.27,0,444486764,326395043,1997-08-08
000796.XSHE,凯撒旅游,0.00,0,803000258,246193265,1997-07-03
000797.XSHE,中国武夷,15.28,0,499798070,428180943,1997-07-15
000798.XSHE,中水渔业,10.65,0,319455000,319380464,1998-02-12
000799.XSHE,*ST酒鬼,14.75,0,324928980,224201689,1997-07-18
000800.XSHE,一汽轿车,13.44,0,1627500000,1411754078,1997-06-18
000801.XSHE,四川九洲,25.20,0,511403323,459888172,1998-05-06
000802.XSHE,北京文化,29.01,0,388600360,378832860,1998-01-08
000803.XSHE,金宇车城,22.00,0,127730893,97692470,1998-03-03
000806.XSHE,银河生物,0.00,0,1099911762,698448301,1998-04-16
000807.XSHE,云铝股份,7.46,0,1898611645,1538981301,1998-04-08
000809.XSHE,铁岭新城,4.44,0,824791293,824791293,1998-06-16
000810.XSHE,创维数字,18.98,0,998503266,392168546,1998-06-02
000811.XSHE,烟台冰轮,11.90,0,435369434,394589178,1998-05-28
000812.XSHE,陕西金叶,9.27,0,447375651,446268737,1998-06-23
000813.XSHE,天山纺织,11.46,0,467495367,363450750,1998-05-19
000815.XSHE,*ST美利,25.05,0,316800000,316800000,1998-06-09
000816.XSHE,智慧农业,6.76,0,1418803318,1088777472,1997-08-18
000818.XSHE,方大化工,0.00,0,680000000,680000000,1997-10-17
000819.XSHE,岳阳兴长,32.43,0,246111657,246098180,1997-06-25
000820.XSHE,金城股份,13.67,0,287834760,220877211,1998-06-30
000821.XSHE,京山轻机,15.62,0,477732636,345219476,1998-06-26
000822.XSHE,山东海化,5.78,0,895091926,895083093,1998-07-03
000823.XSHE,超声电子,8.82,0,536966000,536857016,1997-10-08
000825.XSHE,太钢不锈,3.51,0,5696247796,5696074051,1998-10-21
000826.XSHE,启迪桑德,31.45,0,854297580,847110290,1998-02-25
000828.XSHE,东莞控股,10.17,0,1039516992,1039516992,1997-06-17
000829.XSHE,天音控股,0.00,0,946901092,946901092,1997-12-02
000830.XSHE,鲁西化工,5.49,0,1464860778,1463978828,1998-08-07
000831.XSHE,五矿稀土,18.05,0,980888981,980881331,1998-09-11
000833.XSHE,贵糖股份,11.13,0,668401851,296065450,1998-11-11
000835.XSHE,长城动漫,0.00,0,326760374,302895000,1999-06-25
000836.XSHE,鑫茂科技,0.00,0,1208455224,1182628851,1997-09-29
000837.XSHE,秦川机床,9.54,0,693370910,481494922,1998-09-28
000838.XSHE,财信发展,19.88,0,1100462170,632023154,1997-06-26
000839.XSHE,中信国安,16.39,0,1567930541,1567664379,1997-10-31
000848.XSHE,承德露露,13.00,0,752740560,752372309,1997-11-13
000850.XSHE,华茂股份,5.96,0,943665009,943200127,1998-10-07
000851.XSHE,高鸿股份,14.17,0,591364260,487837889,1998-06-09
000852.XSHE,石化机械,15.76,0,460121300,400400000,1998-11-26
000856.XSHE,冀东装备,11.85,0,227000000,227000000,1998-08-13
000858.XSHE,五 粮 液,26.34,0,3795966720,3795673399,1998-04-27
000859.XSHE,国风塑业,5.17,0,739449730,739400980,1998-11-19
000860.XSHE,顺鑫农业,20.28,0,570589992,562999200,1998-11-04
000861.XSHE,海印股份,5.67,0,2249862979,1860512068,1998-10-28
000862.XSHE,银星能源,6.40,0,541632994,334359292,1998-09-15
000863.XSHE,三湘股份,8.91,0,956481910,910957003,1997-09-25
000868.XSHE,安凯客车,7.54,0,695565603,695561553,1997-07-25
000869.XSHE,张  裕Ａ,35.65,0,453460800,453460800,2000-10-26
000875.XSHE,吉电股份,6.44,0,1460612195,1115622225,2002-09-26
000876.XSHE,新 希 望,15.99,0,2084117292,1728302662,1998-03-11
000877.XSHE,天山股份,6.65,0,880101259,880049863,1999-01-07
000878.XSHE,云南铜业,11.92,0,1416398800,1416391956,1998-06-02
000880.XSHE,潍柴重机,13.09,0,276100500,135135000,1998-04-02
000881.XSHE,大连国际,17.59,0,308918400,307964083,1998-09-02
000882.XSHE,华联股份,3.96,0,2226086429,1884686901,1998-06-16
000883.XSHE,湖北能源,4.79,0,6507449486,5346003703,1998-05-19
000885.XSHE,同力水泥,14.55,0,474799283,426799283,1999-03-19
000886.XSHE,海南高速,5.53,0,988828300,964619941,1998-01-23
000887.XSHE,中鼎股份,20.86,0,1115493070,1113916186,1998-12-03
000888.XSHE,峨眉山Ａ,12.04,0,526913102,526825711,1997-10-21
000889.XSHE,茂业通信,10.34,0,621826786,445276416,1997-12-18
000890.XSHE,法 尔 胜,0.00,0,379641600,379572386,1999-01-19
000892.XSHE,星美联合,16.58,0,413876880,306937440,1999-01-15
000893.XSHE,东凌国际,0.00,0,756903272,399884450,1998-12-24
000895.XSHE,双汇发展,20.29,0,3300867672,1817450010,1998-12-10
000897.XSHE,津滨发展,4.68,0,1617272234,1617211709,1999-04-22
000898.XSHE,鞍钢股份,4.20,0,6149007847,6148954423,1997-12-25
000899.XSHE,赣能股份,8.70,0,975677760,555181703,1997-11-26
000900.XSHE,现代投资,7.12,0,1011885556,1010788069,1999-01-28
000901.XSHE,航天科技,40.04,0,323624221,323624221,1999-04-01
000902.XSHE,新洋丰,25.74,0,659224645,258000000,1999-04-08
