代码,名称,收盘价,净值,总股本,流通股本,上市时间
150143.XSHE,转债A级,0.988,1.0140,103860790,0,2013-08-28
150144.XSHE,转债B级,1.013,0.9740,44511767,0,2013-08-28
150145.XSHE,高贝塔A,0.990,1.0130,18047909,0,2013-09-02
150146.XSHE,高贝塔B,0.570,0.5250,18047910,0,2013-09-02
150147.XSHE,同利B,2.208,1.4500,3984093,0,2013-10-30
150148.XSHE,医药800A,0.991,1.0130,90286923,0,2013-09-06
150149.XSHE,医药800B,0.491,0.4590,90286923,0,2013-09-06
150150.XSHE,有色800A,0.992,1.0130,117965638,0,2013-09-18
150151.XSHE,有色800B,0.906,0.8850,117965638,0,2013-09-18
150152.XSHE,创业板A,1.009,1.0110,3274266821,0,2013-09-30
150153.XSHE,创业板B,1.055,1.0030,3274266821,0,2013-09-30
150154.XSHE,惠丰B,1.035,1.0390,72439530,0,2013-12-06
150156.XSHE,中银互B,1.047,1.0320,282372333,0,2013-12-19
150157.XSHE,金融A,1.007,1.0130,1345837370,0,2014-01-22
150158.XSHE,金融B,0.777,0.7710,1345837371,0,2014-01-22
150160.XSHE,通福B,1.574,1.5690,78443838,0,2014-01-27
150161.XSHE,惠鑫B,1.728,1.7120,42522859,0,2014-03-28
150164.XSHE,可转债A,0.972,1.0090,64138703,0,2014-06-06
150165.XSHE,可转债B,1.043,0.9690,27488015,0,2014-06-06
150167.XSHE,银华300A,0.994,1.0150,30924317,0,2014-01-21
150168.XSHE,银华300B,0.652,0.6250,30924317,0,2014-01-21
150169.XSHE,恒生A,0.973,1.0090,691260806,0,2014-04-11
150170.XSHE,恒生B,0.780,0.7610,691260806,0,2014-04-11
150171.XSHE,证券A,0.965,1.0010,2534625510,0,2014-03-31
150172.XSHE,证券B,1.410,1.3098,2534625510,0,2014-03-31
150173.XSHE,TMT中证A,0.973,1.0120,209109315,0,2014-12-22
150174.XSHE,TMT中证B,0.778,0.6980,209109315,0,2014-12-22
150175.XSHE,H股A,0.880,1.0152,3743604371,0,2014-05-12
150176.XSHE,H股B,0.721,0.6036,3743604371,0,2014-05-12
150177.XSHE,证保A,0.972,1.0100,240108051,0,2014-05-19
150178.XSHE,证保B,1.418,1.3340,240108051,0,2014-05-19
150179.XSHE,信息A,0.972,1.0100,106946128,0,2014-05-19
150180.XSHE,信息B,1.299,1.2360,106946128,0,2014-05-19
150181.XSHE,军工A,0.972,1.0060,2804295088,0,2014-04-23
150182.XSHE,军工B,1.282,1.2520,2804295088,0,2014-04-23
150184.XSHE,环保A,1.001,1.0368,576109734,0,2014-06-16
150185.XSHE,环保B,0.850,0.8068,576109734,0,2014-06-16
150186.XSHE,军工A级,0.996,1.0330,386335465,0,2014-08-11
150187.XSHE,军工B级,0.995,0.9622,386335465,0,2014-08-11
150188.XSHE,转债优先,1.028,1.0150,323022843,0,2014-08-25
150189.XSHE,转债进取,0.975,1.0050,138438361,0,2014-08-25
150190.XSHE,NCF环保A,1.043,1.0120,83417861,0,2014-10-16
150191.XSHE,NCF环保B,1.151,1.1760,83417861,0,2014-10-16
150192.XSHE,地产A,0.972,1.0100,187779801,0,2014-09-23
150193.XSHE,地产B,0.977,0.9420,187779801,0,2014-09-23
150194.XSHE,互联网A,0.976,1.0120,1480214196,0,2014-09-22
150195.XSHE,互联网B,0.615,0.5300,1480214196,0,2014-09-22
150196.XSHE,有色A,1.037,1.0118,872725062,0,2015-04-15
150197.XSHE,有色B,1.023,1.0520,872725062,0,2015-04-15
150198.XSHE,食品A,1.028,1.0118,769968623,0,2014-11-05
150199.XSHE,食品B,0.447,0.4580,769968623,0,2014-11-05
150200.XSHE,券商A,0.974,1.0120,1753409868,0,2014-11-28
150201.XSHE,券商B,0.717,0.6220,1753409868,0,2014-11-28
150203.XSHE,传媒A,0.966,1.0030,261528293,0,2014-12-22
150204.XSHE,传媒B,1.378,1.3250,261528293,0,2014-12-22
150205.XSHE,国防A,0.979,1.0150,1334330731,0,2014-12-05
150206.XSHE,国防B,0.617,0.5330,1334330731,0,2014-12-05
150207.XSHE,地产A端,0.978,1.0120,82440059,0,2014-12-12
150208.XSHE,地产B端,0.473,0.4060,82440060,0,2014-12-12
150209.XSHE,国企改A,0.974,1.0120,2880876350,0,2014-12-30
150210.XSHE,国企改B,0.692,0.6520,2880876350,0,2014-12-30
150211.XSHE,新能车A,1.002,1.0130,1081063433,0,2015-04-13
150212.XSHE,新能车B,0.728,0.7050,1081063434,0,2015-04-13
150213.XSHE,成长A级,0.993,1.0110,189817833,0,2015-03-27
150214.XSHE,成长B级,0.536,0.4670,189817833,0,2015-03-27
150215.XSHE,TMTA,0.983,1.0096,30933188,0,2015-04-10
150216.XSHE,TMTB,1.220,1.1652,30933188,0,2015-04-10
150217.XSHE,新能源A,0.982,1.0140,299909195,0,2015-04-09
150218.XSHE,新能源B,0.681,0.5840,299909195,0,2015-04-09
150219.XSHE,健康A,1.186,1.0130,571587344,0,2015-05-08
150220.XSHE,健康B,0.755,0.9110,571587344,0,2015-05-08
150221.XSHE,中航军A,1.177,1.0150,3447066286,0,2015-04-20
150222.XSHE,中航军B,0.761,0.9270,3447066287,0,2015-04-20
150223.XSHE,证券A级,1.141,1.0160,1599247111,0,2015-04-10
150224.XSHE,证券B级,1.101,1.1880,1599247111,0,2015-04-10
150225.XSHE,证保A级,0.998,1.0153,38648530,0,2015-05-28
150226.XSHE,证保B级,1.248,1.1847,38648530,0,2015-05-28
150227.XSHE,银行A,0.980,1.0180,2908843203,0,2015-04-28
150228.XSHE,银行B,0.649,0.6140,2908843203,0,2015-04-28
150229.XSHE,酒A,0.977,1.0140,76522475,0,2015-05-11
150230.XSHE,酒B,0.555,0.5000,76522476,0,2015-05-11
150231.XSHE,电子A,0.980,1.0106,66039055,0,2015-05-28
150232.XSHE,电子B,0.950,0.9064,66039055,0,2015-05-28
150233.XSHE,传媒业A,0.999,1.0368,21478412,0,2015-06-10
150234.XSHE,传媒业B,0.902,0.8214,21478412,0,2015-06-10
150235.XSHE,券商A级,0.972,1.0090,433191408,0,2015-05-15
150236.XSHE,券商B级,1.073,1.0030,433191409,0,2015-05-15
150237.XSHE,环保A级,0.992,1.0240,14192282,0,2015-06-26
150238.XSHE,环保B级,1.041,1.0040,14192282,0,2015-06-26
150241.XSHE,银行A级,0.974,1.0120,104703345,0,2015-05-13
150242.XSHE,银行B级,0.761,0.7240,104703346,0,2015-05-13
150243.XSHE,创业A,0.970,1.0090,158870224,0,2015-07-06
150244.XSHE,创业B,1.160,1.0390,158870224,0,2015-07-06
150245.XSHE,互联A,0.989,1.0270,33326622,0,2015-06-26
150246.XSHE,互联B,1.229,1.1730,33326622,0,2015-06-26
150247.XSHE,传媒A级,1.018,1.0117,96255268,0,2015-05-29
150248.XSHE,传媒B级,0.714,0.6475,96255268,0,2015-05-29
150249.XSHE,银行A端,0.974,1.0120,50367216,0,2015-05-28
150250.XSHE,银行B端,0.680,0.6340,50367216,0,2015-05-28
150251.XSHE,煤炭A,0.975,1.0120,68935681,0,2015-05-28
150252.XSHE,煤炭B,0.998,0.9600,68935681,0,2015-05-28
150255.XSHE,银行业A,1.006,1.0421,42559594,0,2015-06-11
150256.XSHE,银行业B,0.601,0.5445,42559594,0,2015-06-11
150257.XSHE,生物A,0.999,1.0370,21934362,0,2015-06-11
150258.XSHE,生物B,1.055,1.0154,21934362,0,2015-06-11
150259.XSHE,重组A,1.000,1.0373,140279844,0,2015-06-11
150260.XSHE,重组B,0.899,0.8665,140279844,0,2015-06-11
150261.XSHE,医疗A,1.069,1.0080,165072958,0,2015-06-08
150262.XSHE,医疗B,1.065,1.1338,165072958,0,2015-06-08
150263.XSHE,1000A,1.054,1.0147,14808397,0,2015-06-16
150264.XSHE,1000B,0.614,0.6075,14808397,0,2015-06-16
150265.XSHE,一带A,1.045,1.0080,191622946,0,2015-05-22
150266.XSHE,一带B,1.179,1.2210,191622946,0,2015-05-22
150267.XSHE,银行A类,0.994,1.0153,23577843,0,2015-06-18
150268.XSHE,银行B类,0.686,0.6319,23577843,0,2015-06-18
150269.XSHE,白酒A,0.976,1.0120,122480261,0,2015-06-05
150270.XSHE,白酒B,0.598,0.5700,122480262,0,2015-06-05
150271.XSHE,生物药A,0.976,1.0120,22219766,0,2015-06-05
150272.XSHE,生物药B,1.071,0.9780,22219766,0,2015-06-05
150273.XSHE,带路A,1.001,1.0350,102914091,0,2015-05-25
150274.XSHE,带路B,0.536,0.4870,102914091,0,2015-05-25
150275.XSHE,一带一A,0.979,1.0120,335957344,0,2015-05-22
150276.XSHE,一带一B,0.526,0.4810,335957344,0,2015-05-22
150277.XSHE,高铁A,1.002,1.0360,167352126,0,2015-06-05
150278.XSHE,高铁B,0.630,0.5920,167352126,0,2015-06-05
150279.XSHE,新能A,1.000,1.0350,17394322,0,2015-06-05
150280.XSHE,新能B,0.739,0.6950,17394322,0,2015-06-05
150281.XSHE,金融地A,1.030,1.0440,48890519,0,2015-06-26
150282.XSHE,金融地B,0.452,0.4260,48890519,0,2015-06-26
150283.XSHE,SW医药A,1.004,1.0397,99281409,0,2015-07-06
150284.XSHE,SW医药B,0.691,0.6619,99281410,0,2015-07-06
150287.XSHE,钢铁A,1.021,1.0150,98152904,0,2015-06-29
150288.XSHE,钢铁B,0.645,0.6380,98152904,0,2015-06-29
150289.XSHE,煤炭A级,1.019,1.0150,129968614,0,2015-07-03
150290.XSHE,煤炭B级,0.438,0.4230,129968614,0,2015-07-03
150291.XSHE,银行A份,1.022,1.0150,200986909,0,2015-06-15
150292.XSHE,银行B份,0.540,0.5420,200986910,0,2015-06-15
150293.XSHE,高铁A级,1.064,1.0358,10072425,0,2015-06-23
150294.XSHE,高铁B级,1.030,1.0434,10072425,0,2015-06-23
150295.XSHE,改革A,1.034,1.0405,138722357,0,2015-06-15
150296.XSHE,改革B,0.656,0.6503,138722357,0,2015-06-15
150297.XSHE,互联A级,1.047,1.0437,44796791,0,2015-07-13
150298.XSHE,互联B级,0.603,0.5115,44796792,0,2015-07-13
150299.XSHE,银行股A,1.021,1.0148,333464911,0,2015-06-18
